MatchID,Season,MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeCorners,AwayCorners,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,HadStatError,HomeWin,AwayWin,Draw,Result,HomePoints,AwayPoints,ShotsDiff,ShotsOnTargetDiff,CornersDiff,FoulsDiff,YellowCardsDiff,RedCardsDiff,GoalDiff,HalfTimeGoalDiff,TotalGoals,HomeShotAccuracy,HomeConversion,AwayShotAccuracy,AwayConversion,ShotAccuracyDiff
49,2000/01,2000-09-11,Tottenham,West Ham,1,0,H,0,0,D,15.0,11.0,7.0,5.0,11,3,14,13,1,2,0,0,False,1,0,0,HomeWin,3,0,4.0,2.0,8,1,-1,0,1,0,1,0.4666666666666667,0.14285714285714285,0.45454545454545453,0.0,0.012121212121212144
50,2000/01,2000-09-16,Arsenal,Coventry,2,1,H,1,0,H,18.0,6.0,13.0,2.0,8,4,5,13,1,2,0,0,False,1,0,0,HomeWin,3,0,12.0,11.0,4,-8,-1,0,1,1,3,0.7222222222222222,0.15384615384615385,0.3333333333333333,0.5,0.3888888888888889
51,2000/01,2000-09-16,Aston Villa,Bradford,2,0,H,1,0,H,12.0,8.0,7.0,4.0,5,6,8,12,0,2,0,0,False,1,0,0,HomeWin,3,0,4.0,3.0,-1,-4,-2,0,2,1,2,0.5833333333333334,0.2857142857142857,0.5,0.0,0.08333333333333337
52,2000/01,2000-09-16,Charlton,Tottenham,1,0,H,1,0,H,9.0,10.0,5.0,5.0,7,5,8,10,0,0,0,0,False,1,0,0,HomeWin,3,0,-1.0,0.0,2,-2,0,0,1,1,1,0.5555555555555556,0.2,0.5,0.0,0.05555555555555558
53,2000/01,2000-09-16,Everton,Man United,1,3,A,0,3,A,6.0,17.0,4.0,9.0,6,5,10,11,4,1,0,0,False,0,1,0,AwayWin,0,3,-11.0,-5.0,1,-1,3,0,-2,-3,4,0.6666666666666666,0.25,0.5294117647058824,0.3333333333333333,0.13725490196078427
54,2000/01,2000-09-16,Leeds,Ipswich,1,2,A,1,1,D,11.0,12.0,6.0,7.0,6,3,12,19,1,3,0,0,False,0,1,0,AwayWin,0,3,-1.0,-1.0,3,-7,-2,0,-1,0,3,0.5454545454545454,0.16666666666666666,0.5833333333333334,0.2857142857142857,-0.037878787878787956
55,2000/01,2000-09-16,Southampton,Newcastle,2,0,H,0,0,D,13.0,10.0,9.0,7.0,4,8,14,14,0,0,0,0,False,1,0,0,HomeWin,3,0,3.0,2.0,-4,0,0,0,2,0,2,0.6923076923076923,0.2222222222222222,0.7,0.0,-0.007692307692307665
56,2000/01,2000-09-16,Sunderland,Derby,2,1,H,1,0,H,15.0,10.0,8.0,5.0,4,5,16,28,2,3,0,0,False,1,0,0,HomeWin,3,0,5.0,3.0,-1,-12,-1,0,1,1,3,0.5333333333333333,0.25,0.5,0.2,0.033333333333333326
57,2000/01,2000-09-17,Chelsea,Leicester,0,2,A,0,1,A,16.0,7.0,10.0,5.0,15,3,16,17,3,1,0,0,False,0,1,0,AwayWin,0,3,9.0,5.0,12,-1,2,0,-2,-1,2,0.625,0.0,0.7142857142857143,0.4,-0.0892857142857143
58,2000/01,2000-09-17,Man City,Middlesbrough,1,1,D,0,0,D,11.0,4.0,4.0,2.0,9,3,15,11,2,5,0,0,False,0,0,1,Draw,1,1,7.0,2.0,6,4,-3,0,0,0,2,0.36363636363636365,0.25,0.5,0.5,-0.13636363636363635
59,2000/01,2000-09-17,West Ham,Liverpool,1,1,D,0,1,A,15.0,7.0,4.0,2.0,9,0,5,13,0,2,0,0,False,0,0,1,Draw,1,1,8.0,2.0,9,-8,-2,0,0,-1,2,0.26666666666666666,0.25,0.2857142857142857,0.5,-0.019047619047619035
60,2000/01,2000-09-23,Bradford,Southampton,0,1,A,0,1,A,14.0,6.0,6.0,4.0,7,5,14,18,3,1,0,0,False,0,1,0,AwayWin,0,3,8.0,2.0,2,-4,2,0,-1,-1,1,0.42857142857142855,0.0,0.6666666666666666,0.25,-0.23809523809523808
61,2000/01,2000-09-23,Coventry,West Ham,0,3,A,0,2,A,9.0,12.0,2.0,10.0,5,6,12,11,0,1,0,0,False,0,1,0,AwayWin,0,3,-3.0,-8.0,-1,1,-1,0,-3,-2,3,0.2222222222222222,0.0,0.8333333333333334,0.3,-0.6111111111111112
62,2000/01,2000-09-23,Derby,Leeds,1,1,D,0,1,A,13.0,16.0,7.0,6.0,7,4,17,15,2,2,1,0,False,0,0,1,Draw,1,1,-3.0,1.0,3,2,0,1,0,-1,2,0.5384615384615384,0.14285714285714285,0.375,0.16666666666666666,0.16346153846153844
63,2000/01,2000-09-23,Ipswich,Arsenal,1,1,D,0,0,D,17.0,10.0,6.0,4.0,4,7,8,13,1,2,0,0,False,0,0,1,Draw,1,1,7.0,2.0,-3,-5,-1,0,0,0,2,0.35294117647058826,0.16666666666666666,0.4,0.25,-0.047058823529411764
64,2000/01,2000-09-23,Liverpool,Sunderland,1,1,D,1,1,D,11.0,8.0,6.0,3.0,12,3,14,18,2,2,0,0,False,0,0,1,Draw,1,1,3.0,3.0,9,-4,0,0,0,0,2,0.5454545454545454,0.16666666666666666,0.375,0.3333333333333333,0.17045454545454541
65,2000/01,2000-09-23,Man United,Chelsea,3,3,D,3,2,H,11.0,13.0,5.0,5.0,8,4,15,19,3,2,0,0,False,0,0,1,Draw,1,1,-2.0,0.0,4,-4,1,0,0,1,6,0.45454545454545453,0.6,0.38461538461538464,0.6,0.0699300699300699
66,2000/01,2000-09-23,Middlesbrough,Aston Villa,1,1,D,0,0,D,12.0,15.0,5.0,7.0,5,5,7,14,3,0,0,0,False,0,0,1,Draw,1,1,-3.0,-2.0,0,-7,3,0,0,0,2,0.4166666666666667,0.2,0.4666666666666667,0.14285714285714285,-0.04999999999999999
67,2000/01,2000-09-23,Newcastle,Charlton,0,1,A,0,1,A,12.0,4.0,5.0,2.0,4,7,14,10,1,2,0,0,False,0,1,0,AwayWin,0,3,8.0,3.0,-3,4,-1,0,-1,-1,1,0.4166666666666667,0.0,0.5,0.5,-0.08333333333333331
68,2000/01,2000-09-23,Tottenham,Man City,0,0,D,0,0,D,18.0,7.0,5.0,2.0,5,4,10,14,0,2,0,0,False,0,0,1,Draw,1,1,11.0,3.0,1,-4,-2,0,0,0,0,0.2777777777777778,0.0,0.2857142857142857,0.0,-0.007936507936507908
69,2000/01,2000-09-24,Leicester,Everton,1,1,D,1,0,H,10.0,9.0,4.0,3.0,9,3,14,13,3,1,0,0,False,0,0,1,Draw,1,1,1.0,1.0,6,1,2,0,0,1,2,0.4,0.25,0.3333333333333333,0.3333333333333333,0.06666666666666671
70,2000/01,2000-09-30,Aston Villa,Derby,4,1,H,2,0,H,12.0,11.0,7.0,6.0,6,6,0,1,1,1,0,0,False,1,0,0,HomeWin,3,0,1.0,1.0,0,-1,0,0,3,2,5,0.5833333333333334,0.5714285714285714,0.5454545454545454,0.16666666666666666,0.037878787878787956
71,2000/01,2000-09-30,Charlton,Coventry,2,2,D,0,1,A,12.0,10.0,8.0,6.0,6,6,8,16,1,2,0,0,False,0,0,1,Draw,1,1,2.0,2.0,0,-8,-1,0,0,-1,4,0.6666666666666666,0.25,0.6,0.3333333333333333,0.06666666666666665
72,2000/01,2000-09-30,Everton,Ipswich,0,3,A,0,1,A,7.0,9.0,3.0,7.0,4,1,6,5,1,0,0,0,False,0,1,0,AwayWin,0,3,-2.0,-4.0,3,1,1,0,-3,-1,3,0.42857142857142855,0.0,0.7777777777777778,0.42857142857142855,-0.34920634920634924
73,2000/01,2000-09-30,Leeds,Tottenham,4,3,H,0,1,A,14.0,10.0,7.0,5.0,6,4,11,20,0,2,0,0,False,1,0,0,HomeWin,3,0,4.0,2.0,2,-9,-2,0,1,-1,7,0.5,0.5714285714285714,0.5,0.6,0.0
74,2000/01,2000-09-30,Man City,Newcastle,0,1,A,0,0,D,9.0,15.0,7.0,9.0,10,8,16,12,0,1,0,0,False,0,1,0,AwayWin,0,3,-6.0,-2.0,2,4,-1,0,-1,0,1,0.7777777777777778,0.0,0.6,0.1111111111111111,0.1777777777777778
75,2000/01,2000-09-30,Southampton,Middlesbrough,1,3,A,0,2,A,16.0,7.0,8.0,5.0,6,6,6,22,2,2,0,0,False,0,1,0,AwayWin,0,3,9.0,3.0,0,-16,0,0,-2,-2,4,0.5,0.125,0.7142857142857143,0.6,-0.2142857142857143
76,2000/01,2000-09-30,West Ham,Bradford,1,1,D,1,0,H,14.0,9.0,6.0,6.0,7,2,14,10,3,2,0,0,False,0,0,1,Draw,1,1,5.0,0.0,5,4,1,0,0,1,2,0.42857142857142855,0.16666666666666666,0.6666666666666666,0.16666666666666666,-0.23809523809523808
77,2000/01,2000-10-01,Arsenal,Man United,1,0,H,1,0,H,7.0,13.0,5.0,4.0,3,11,18,17,2,3,0,0,False,1,0,0,HomeWin,3,0,-6.0,1.0,-8,1,-1,0,1,1,1,0.7142857142857143,0.2,0.3076923076923077,0.0,0.4065934065934066
78,2000/01,2000-10-01,Chelsea,Liverpool,3,0,H,2,0,H,11.0,10.0,5.0,2.0,3,1,14,14,1,1,0,0,False,1,0,0,HomeWin,3,0,1.0,3.0,2,0,0,0,3,2,3,0.45454545454545453,0.6,0.2,0.0,0.2545454545454545
79,2000/01,2000-10-01,Sunderland,Leicester,0,0,D,0,0,D,11.0,8.0,5.0,2.0,6,2,12,8,3,1,0,0,False,0,0,1,Draw,1,1,3.0,3.0,4,4,2,0,0,0,0,0.45454545454545453,0.0,0.25,0.0,0.20454545454545453
80,2000/01,2000-10-14,Arsenal,Aston Villa,1,0,H,0,0,D,16.0,8.0,10.0,3.0,7,4,12,20,1,4,0,1,False,1,0,0,HomeWin,3,0,8.0,7.0,3,-8,-3,-1,1,0,1,0.625,0.1,0.375,0.0,0.25
81,2000/01,2000-10-14,Coventry,Tottenham,2,1,H,2,0,H,,,,,3,5,12,16,0,4,1,0,True,1,0,0,HomeWin,3,0,,,-2,-4,-4,1,1,2,3,,,,,
82,2000/01,2000-10-14,Everton,Southampton,1,1,D,0,0,D,7.0,7.0,3.0,4.0,9,8,16,13,1,3,0,0,False,0,0,1,Draw,1,1,0.0,-1.0,1,3,-2,0,0,0,2,0.42857142857142855,0.3333333333333333,0.5714285714285714,0.25,-0.14285714285714285
83,2000/01,2000-10-14,Ipswich,West Ham,1,1,D,1,0,H,11.0,7.0,8.0,2.0,8,5,10,11,0,4,0,0,False,0,0,1,Draw,1,1,4.0,6.0,3,-1,-4,0,0,1,2,0.7272727272727273,0.125,0.2857142857142857,0.5,0.4415584415584416
84,2000/01,2000-10-14,Leeds,Charlton,3,1,H,1,0,H,22.0,10.0,10.0,8.0,8,5,7,9,0,1,0,0,False,1,0,0,HomeWin,3,0,12.0,2.0,3,-2,-1,0,2,1,4,0.45454545454545453,0.3,0.8,0.125,-0.3454545454545455
85,2000/01,2000-10-14,Leicester,Man United,0,3,A,0,1,A,10.0,16.0,4.0,5.0,6,7,8,11,0,0,0,0,False,0,1,0,AwayWin,0,3,-6.0,-1.0,-1,-3,0,0,-3,-1,3,0.4,0.0,0.3125,0.6,0.08750000000000002
86,2000/01,2000-10-14,Man City,Bradford,2,0,H,2,0,H,13.0,10.0,10.0,2.0,5,6,10,16,0,2,0,0,False,1,0,0,HomeWin,3,0,3.0,8.0,-1,-6,-2,0,2,2,2,0.7692307692307693,0.2,0.2,0.0,0.5692307692307692
